[2026-05-11 07:30:47] removing existing /home/paul/avn_bench_repo
[2026-05-11 07:30:48] run tag: compress
[2026-05-11 07:30:48] creating repo at /home/paul/avn_bench_repo
[2026-05-11 07:30:49] starting avnserver on port 9990
[2026-05-11 07:30:51] starting 5000 commits × 102400B random text, batches of 50
[2026-05-11 07:30:54] batch 1: 50/5000 commits, batch=3.6s, avg=71ms, repo=3MB, total=4s
[2026-05-11 07:30:58] batch 2: 100/5000 commits, batch=3.7s, avg=75ms, repo=7MB, total=7s
[2026-05-11 07:31:02] batch 3: 150/5000 commits, batch=3.7s, avg=73ms, repo=11MB, total=11s
[2026-05-11 07:31:05] batch 4: 200/5000 commits, batch=3.5s, avg=71ms, repo=15MB, total=15s
[2026-05-11 07:31:09] batch 5: 250/5000 commits, batch=3.6s, avg=72ms, repo=18MB, total=18s
[2026-05-11 07:31:12] batch 6: 300/5000 commits, batch=3.5s, avg=71ms, repo=22MB, total=22s
[2026-05-11 07:31:16] batch 7: 350/5000 commits, batch=3.6s, avg=72ms, repo=26MB, total=25s
[2026-05-11 07:31:20] batch 8: 400/5000 commits, batch=3.8s, avg=76ms, repo=30MB, total=29s
[2026-05-11 07:31:23] batch 9: 450/5000 commits, batch=3.6s, avg=72ms, repo=33MB, total=33s
[2026-05-11 07:31:27] batch 10: 500/5000 commits, batch=3.9s, avg=78ms, repo=37MB, total=37s
[2026-05-11 07:31:31] batch 11: 550/5000 commits, batch=4.0s, avg=80ms, repo=41MB, total=41s
[2026-05-11 07:31:35] batch 12: 600/5000 commits, batch=4.1s, avg=82ms, repo=45MB, total=45s
[2026-05-11 07:31:41] batch 13: 650/5000 commits, batch=5.9s, avg=117ms, repo=48MB, total=51s
[2026-05-11 07:31:45] batch 14: 700/5000 commits, batch=3.9s, avg=78ms, repo=52MB, total=54s
[2026-05-11 07:31:49] batch 15: 750/5000 commits, batch=3.9s, avg=78ms, repo=56MB, total=58s
[2026-05-11 07:31:53] batch 16: 800/5000 commits, batch=3.8s, avg=77ms, repo=60MB, total=62s
[2026-05-11 07:31:57] batch 17: 850/5000 commits, batch=4.0s, avg=80ms, repo=63MB, total=66s
[2026-05-11 07:32:01] batch 18: 900/5000 commits, batch=3.8s, avg=76ms, repo=67MB, total=70s
[2026-05-11 07:32:05] batch 19: 950/5000 commits, batch=4.0s, avg=80ms, repo=71MB, total=74s
[2026-05-11 07:32:09] batch 20: 1000/5000 commits, batch=3.9s, avg=78ms, repo=75MB, total=78s
[2026-05-11 07:32:13] batch 21: 1050/5000 commits, batch=3.8s, avg=77ms, repo=78MB, total=82s
[2026-05-11 07:32:16] batch 22: 1100/5000 commits, batch=3.8s, avg=75ms, repo=82MB, total=85s
[2026-05-11 07:32:20] batch 23: 1150/5000 commits, batch=3.9s, avg=78ms, repo=86MB, total=89s
[2026-05-11 07:32:24] batch 24: 1200/5000 commits, batch=4.0s, avg=80ms, repo=90MB, total=93s
[2026-05-11 07:32:28] batch 25: 1250/5000 commits, batch=3.9s, avg=79ms, repo=93MB, total=97s
[2026-05-11 07:32:32] batch 26: 1300/5000 commits, batch=3.8s, avg=75ms, repo=97MB, total=101s
[2026-05-11 07:32:36] batch 27: 1350/5000 commits, batch=3.8s, avg=76ms, repo=101MB, total=105s
[2026-05-11 07:32:40] batch 28: 1400/5000 commits, batch=3.8s, avg=76ms, repo=105MB, total=109s
[2026-05-11 07:32:43] batch 29: 1450/5000 commits, batch=3.8s, avg=76ms, repo=109MB, total=112s
[2026-05-11 07:32:49] batch 30: 1500/5000 commits, batch=5.9s, avg=118ms, repo=112MB, total=118s
[2026-05-11 07:32:53] batch 31: 1550/5000 commits, batch=4.1s, avg=83ms, repo=116MB, total=122s
[2026-05-11 07:32:58] batch 32: 1600/5000 commits, batch=4.4s, avg=88ms, repo=120MB, total=127s
[2026-05-11 07:33:02] batch 33: 1650/5000 commits, batch=4.2s, avg=83ms, repo=124MB, total=131s
[2026-05-11 07:33:06] batch 34: 1700/5000 commits, batch=3.9s, avg=78ms, repo=127MB, total=135s
[2026-05-11 07:33:10] batch 35: 1750/5000 commits, batch=3.9s, avg=79ms, repo=131MB, total=139s
[2026-05-11 07:33:14] batch 36: 1800/5000 commits, batch=3.9s, avg=78ms, repo=135MB, total=143s
[2026-05-11 07:33:18] batch 37: 1850/5000 commits, batch=3.9s, avg=78ms, repo=139MB, total=147s
[2026-05-11 07:33:22] batch 38: 1900/5000 commits, batch=4.0s, avg=79ms, repo=142MB, total=151s
[2026-05-11 07:33:26] batch 39: 1950/5000 commits, batch=3.9s, avg=79ms, repo=146MB, total=155s
[2026-05-11 07:33:30] batch 40: 2000/5000 commits, batch=4.0s, avg=80ms, repo=150MB, total=159s
[2026-05-11 07:33:34] batch 41: 2050/5000 commits, batch=4.1s, avg=83ms, repo=154MB, total=163s
[2026-05-11 07:33:38] batch 42: 2100/5000 commits, batch=4.1s, avg=83ms, repo=157MB, total=167s
[2026-05-11 07:33:42] batch 43: 2150/5000 commits, batch=4.2s, avg=83ms, repo=161MB, total=171s
[2026-05-11 07:33:48] batch 44: 2200/5000 commits, batch=6.0s, avg=120ms, repo=165MB, total=177s
[2026-05-11 07:33:53] batch 45: 2250/5000 commits, batch=4.5s, avg=90ms, repo=169MB, total=181s
[2026-05-11 07:33:57] batch 46: 2300/5000 commits, batch=4.3s, avg=86ms, repo=172MB, total=186s
[2026-05-11 07:34:01] batch 47: 2350/5000 commits, batch=4.3s, avg=85ms, repo=176MB, total=190s
[2026-05-11 07:34:05] batch 48: 2400/5000 commits, batch=4.1s, avg=81ms, repo=180MB, total=194s
[2026-05-11 07:34:09] batch 49: 2450/5000 commits, batch=4.1s, avg=81ms, repo=184MB, total=198s
[2026-05-11 07:34:13] batch 50: 2500/5000 commits, batch=4.2s, avg=84ms, repo=187MB, total=202s
[2026-05-11 07:34:18] batch 51: 2550/5000 commits, batch=4.3s, avg=85ms, repo=191MB, total=207s
[2026-05-11 07:34:22] batch 52: 2600/5000 commits, batch=4.2s, avg=83ms, repo=195MB, total=211s
[2026-05-11 07:34:26] batch 53: 2650/5000 commits, batch=4.2s, avg=84ms, repo=199MB, total=215s
[2026-05-11 07:34:30] batch 54: 2700/5000 commits, batch=4.2s, avg=83ms, repo=203MB, total=219s
[2026-05-11 07:34:35] batch 55: 2750/5000 commits, batch=4.3s, avg=86ms, repo=206MB, total=223s
[2026-05-11 07:34:39] batch 56: 2800/5000 commits, batch=4.5s, avg=90ms, repo=210MB, total=228s
[2026-05-11 07:34:43] batch 57: 2850/5000 commits, batch=4.4s, avg=87ms, repo=214MB, total=232s
[2026-05-11 07:34:48] batch 58: 2900/5000 commits, batch=4.4s, avg=88ms, repo=218MB, total=237s
[2026-05-11 07:34:52] batch 59: 2950/5000 commits, batch=4.1s, avg=83ms, repo=221MB, total=241s
[2026-05-11 07:34:59] batch 60: 3000/5000 commits, batch=6.5s, avg=130ms, repo=225MB, total=247s
[2026-05-11 07:35:03] batch 61: 3050/5000 commits, batch=4.7s, avg=93ms, repo=229MB, total=252s
[2026-05-11 07:35:08] batch 62: 3100/5000 commits, batch=4.6s, avg=91ms, repo=233MB, total=257s
[2026-05-11 07:35:12] batch 63: 3150/5000 commits, batch=4.4s, avg=88ms, repo=236MB, total=261s
[2026-05-11 07:35:17] batch 64: 3200/5000 commits, batch=4.6s, avg=92ms, repo=240MB, total=266s
[2026-05-11 07:35:21] batch 65: 3250/5000 commits, batch=4.7s, avg=93ms, repo=244MB, total=270s
[2026-05-11 07:35:26] batch 66: 3300/5000 commits, batch=4.5s, avg=91ms, repo=248MB, total=275s
[2026-05-11 07:35:30] batch 67: 3350/5000 commits, batch=4.5s, avg=89ms, repo=251MB, total=279s
[2026-05-11 07:35:35] batch 68: 3400/5000 commits, batch=4.5s, avg=89ms, repo=255MB, total=284s
[2026-05-11 07:35:40] batch 69: 3450/5000 commits, batch=4.6s, avg=91ms, repo=259MB, total=288s
[2026-05-11 07:35:44] batch 70: 3500/5000 commits, batch=4.6s, avg=92ms, repo=263MB, total=293s
[2026-05-11 07:35:49] batch 71: 3550/5000 commits, batch=4.5s, avg=90ms, repo=266MB, total=297s
[2026-05-11 07:35:53] batch 72: 3600/5000 commits, batch=4.6s, avg=92ms, repo=270MB, total=302s
[2026-05-11 07:35:58] batch 73: 3650/5000 commits, batch=4.6s, avg=93ms, repo=274MB, total=306s
[2026-05-11 07:36:04] batch 74: 3700/5000 commits, batch=6.6s, avg=131ms, repo=278MB, total=313s
[2026-05-11 07:36:09] batch 75: 3750/5000 commits, batch=4.5s, avg=89ms, repo=281MB, total=318s
