batch_n,commits,batch_secs,avg_commit_secs,total_secs,repo_size_bytes
1,50,3.62,0.0723,3.62,3990551
2,100,3.58,0.0716,7.20,7927434
3,150,3.56,0.0712,10.76,11884864
4,200,3.58,0.0717,14.34,15813381
5,250,3.71,0.0741,18.05,19766657
6,300,3.58,0.0716,21.63,23699706
7,350,3.59,0.0718,25.21,27640573
8,400,3.50,0.0699,28.71,31581480
9,450,3.50,0.0700,32.21,35522432
10,500,3.55,0.0710,35.76,39463201
11,550,3.52,0.0705,39.28,43408213
12,600,3.55,0.0709,42.83,47340798
13,650,3.57,0.0713,46.40,51277585
14,700,3.66,0.0732,50.06,55222528
15,750,3.63,0.0726,53.69,59167567
16,800,3.62,0.0724,57.31,63104346
17,850,3.65,0.0730,60.96,67053422
18,900,3.60,0.0721,64.56,70994324
19,950,3.64,0.0728,68.21,74931121
20,1000,3.86,0.0773,72.07,78863881
21,1050,3.65,0.0731,75.72,82808851
22,1100,3.68,0.0737,79.40,86749817
23,1150,3.72,0.0744,83.12,90694844
24,1200,3.65,0.0731,86.78,94623448
25,1250,3.70,0.0741,90.48,98560317
26,1300,7.99,0.1599,98.47,102505271
27,1350,3.69,0.0738,102.16,106458559
28,1400,3.73,0.0746,105.89,110395314
29,1450,3.76,0.0751,109.65,114344419
30,1500,3.79,0.0758,113.44,118285281
31,1550,3.79,0.0757,117.23,122234370
32,1600,3.85,0.0770,121.08,126167045
33,1650,3.77,0.0754,124.85,130103752
34,1700,3.79,0.0759,128.64,134044724
35,1750,3.80,0.0760,132.44,137997861
36,1800,3.80,0.0759,136.24,141926502
37,1850,3.83,0.0767,140.07,145867507
38,1900,3.88,0.0777,143.95,149804214
39,1950,3.93,0.0786,147.88,153745143
40,2000,3.83,0.0766,151.71,157690289
41,2050,3.87,0.0774,155.58,161635364
42,2100,3.88,0.0777,159.47,165572388
43,2150,3.87,0.0774,163.33,169521528
44,2200,3.90,0.0781,167.24,173462454
45,2250,4.00,0.0800,171.24,177399297
46,2300,3.95,0.0790,175.18,181323766
47,2350,3.91,0.0783,179.10,185256624
48,2400,3.95,0.0791,183.05,189209883
49,2450,3.99,0.0797,187.04,193142680
50,2500,4.08,0.0816,191.12,197083733
51,2550,7.93,0.1585,199.04,201020531
52,2600,3.99,0.0797,203.03,204969766
53,2650,4.07,0.0814,207.10,208927149
54,2700,3.99,0.0799,211.09,212855752
55,2750,4.03,0.0805,215.12,216792562
56,2800,4.06,0.0813,219.18,220729358
57,2850,4.08,0.0817,223.26,224682601
58,2900,4.04,0.0808,227.30,228635850
59,2950,4.01,0.0802,231.31,232576782
60,3000,4.03,0.0805,235.34,236517642
61,3050,4.10,0.0819,239.43,240462718
62,3100,4.20,0.0840,243.63,244403583
63,3150,4.13,0.0827,247.77,248340390
64,3200,4.05,0.0810,251.82,252273137
65,3250,4.06,0.0812,255.88,256197536
66,3300,4.14,0.0828,260.02,260138417
67,3350,4.15,0.0830,264.17,264071211
68,3400,4.17,0.0835,268.34,268012268
69,3450,4.19,0.0838,272.53,271965447
70,3500,8.38,0.1677,280.91,275898091
71,3550,4.14,0.0829,285.05,279838951
72,3600,4.14,0.0829,289.20,283771670
73,3650,4.19,0.0837,293.39,287729018
74,3700,4.20,0.0840,297.59,291653641
75,3750,4.25,0.0850,301.83,295598677
76,3800,4.28,0.0856,306.12,299543705
77,3850,4.21,0.0842,310.32,303484585
78,3900,4.21,0.0842,314.53,307421499
79,3950,4.23,0.0846,318.77,311378802
80,4000,4.23,0.0846,323.00,315311596
81,4050,4.28,0.0856,327.28,319256583
82,4100,4.35,0.0870,331.63,323197490
83,4150,4.29,0.0858,335.92,327162916
84,4200,4.24,0.0847,340.15,331091533
85,4250,4.28,0.0856,344.44,335024236
86,4300,4.31,0.0863,348.75,338981539
87,4350,4.27,0.0853,353.02,342914224
88,4400,7.74,0.1548,360.76,346855128
89,4450,4.33,0.0866,365.08,350796007
90,4500,4.32,0.0865,369.41,354736770
91,4550,4.35,0.0869,373.75,358681750
92,4600,4.37,0.0873,378.12,362618580
93,4650,4.41,0.0881,382.53,366551302
94,4700,4.46,0.0892,386.99,370488224
95,4750,4.34,0.0868,391.32,374429189
96,4800,4.36,0.0872,395.68,378386532
97,4850,4.47,0.0894,400.15,382339774
98,4900,4.41,0.0882,404.56,386268389
99,4950,4.42,0.0883,408.98,390213301
100,5000,4.53,0.0905,413.50,394150050
