[2026-05-10 17:58:02] removing existing /home/paul/avn_bench_repo
[2026-05-10 17:58:02] run tag: nocompress
[2026-05-10 17:58:02] creating repo at /home/paul/avn_bench_repo
[2026-05-10 17:58:02] AVN_NO_COMPRESS=1 (server-side zlib disabled)
[2026-05-10 17:58:02] starting avnserver on port 9990
[2026-05-10 17:58:04] starting 5000 commits × 102400B random text, batches of 50
[2026-05-10 17:58:07] batch 1: 50/5000 commits, batch=3.3s, avg=66ms, repo=4MB, total=3s
[2026-05-10 17:58:11] batch 2: 100/5000 commits, batch=3.5s, avg=70ms, repo=9MB, total=7s
[2026-05-10 17:58:14] batch 3: 150/5000 commits, batch=3.4s, avg=68ms, repo=14MB, total=10s
[2026-05-10 17:58:18] batch 4: 200/5000 commits, batch=3.4s, avg=67ms, repo=19MB, total=14s
[2026-05-10 17:58:21] batch 5: 250/5000 commits, batch=3.5s, avg=70ms, repo=24MB, total=17s
[2026-05-10 17:58:25] batch 6: 300/5000 commits, batch=3.5s, avg=71ms, repo=29MB, total=21s
[2026-05-10 17:58:28] batch 7: 350/5000 commits, batch=3.5s, avg=71ms, repo=34MB, total=24s
[2026-05-10 17:58:32] batch 8: 400/5000 commits, batch=3.5s, avg=71ms, repo=39MB, total=28s
[2026-05-10 17:58:35] batch 9: 450/5000 commits, batch=3.5s, avg=70ms, repo=44MB, total=31s
[2026-05-10 17:58:39] batch 10: 500/5000 commits, batch=3.7s, avg=73ms, repo=49MB, total=35s
[2026-05-10 17:58:43] batch 11: 550/5000 commits, batch=3.5s, avg=70ms, repo=54MB, total=38s
[2026-05-10 17:58:46] batch 12: 600/5000 commits, batch=3.5s, avg=70ms, repo=59MB, total=42s
[2026-05-10 17:58:49] batch 13: 650/5000 commits, batch=3.4s, avg=68ms, repo=64MB, total=45s
[2026-05-10 17:58:53] batch 14: 700/5000 commits, batch=3.3s, avg=67ms, repo=69MB, total=49s
[2026-05-10 17:58:56] batch 15: 750/5000 commits, batch=3.5s, avg=70ms, repo=74MB, total=52s
[2026-05-10 17:59:00] batch 16: 800/5000 commits, batch=3.4s, avg=69ms, repo=79MB, total=55s
[2026-05-10 17:59:03] batch 17: 850/5000 commits, batch=3.5s, avg=69ms, repo=84MB, total=59s
[2026-05-10 17:59:07] batch 18: 900/5000 commits, batch=3.5s, avg=70ms, repo=88MB, total=62s
[2026-05-10 17:59:10] batch 19: 950/5000 commits, batch=3.5s, avg=70ms, repo=93MB, total=66s
[2026-05-10 17:59:14] batch 20: 1000/5000 commits, batch=3.4s, avg=68ms, repo=98MB, total=69s
[2026-05-10 17:59:17] batch 21: 1050/5000 commits, batch=3.7s, avg=74ms, repo=103MB, total=73s
[2026-05-10 17:59:21] batch 22: 1100/5000 commits, batch=3.6s, avg=71ms, repo=108MB, total=77s
[2026-05-10 17:59:30] batch 23: 1150/5000 commits, batch=9.1s, avg=183ms, repo=113MB, total=86s
[2026-05-10 17:59:34] batch 24: 1200/5000 commits, batch=3.5s, avg=70ms, repo=118MB, total=89s
[2026-05-10 17:59:37] batch 25: 1250/5000 commits, batch=3.5s, avg=70ms, repo=123MB, total=93s
[2026-05-10 17:59:41] batch 26: 1300/5000 commits, batch=3.6s, avg=72ms, repo=128MB, total=96s
[2026-05-10 17:59:44] batch 27: 1350/5000 commits, batch=3.6s, avg=72ms, repo=133MB, total=100s
[2026-05-10 17:59:48] batch 28: 1400/5000 commits, batch=3.5s, avg=71ms, repo=138MB, total=103s
[2026-05-10 17:59:51] batch 29: 1450/5000 commits, batch=3.6s, avg=72ms, repo=143MB, total=107s
[2026-05-10 17:59:55] batch 30: 1500/5000 commits, batch=3.5s, avg=70ms, repo=148MB, total=111s
[2026-05-10 17:59:59] batch 31: 1550/5000 commits, batch=3.5s, avg=70ms, repo=153MB, total=114s
[2026-05-10 18:00:02] batch 32: 1600/5000 commits, batch=3.5s, avg=71ms, repo=158MB, total=118s
[2026-05-10 18:00:06] batch 33: 1650/5000 commits, batch=3.6s, avg=72ms, repo=163MB, total=121s
[2026-05-10 18:00:09] batch 34: 1700/5000 commits, batch=3.7s, avg=73ms, repo=168MB, total=125s
[2026-05-10 18:00:13] batch 35: 1750/5000 commits, batch=3.7s, avg=74ms, repo=173MB, total=129s
[2026-05-10 18:00:17] batch 36: 1800/5000 commits, batch=3.7s, avg=73ms, repo=177MB, total=132s
[2026-05-10 18:00:20] batch 37: 1850/5000 commits, batch=3.7s, avg=73ms, repo=182MB, total=136s
[2026-05-10 18:00:24] batch 38: 1900/5000 commits, batch=3.6s, avg=73ms, repo=187MB, total=140s
[2026-05-10 18:00:28] batch 39: 1950/5000 commits, batch=3.7s, avg=73ms, repo=192MB, total=143s
[2026-05-10 18:00:31] batch 40: 2000/5000 commits, batch=3.7s, avg=74ms, repo=197MB, total=147s
[2026-05-10 18:00:41] batch 41: 2050/5000 commits, batch=9.5s, avg=190ms, repo=202MB, total=156s
[2026-05-10 18:00:45] batch 42: 2100/5000 commits, batch=3.6s, avg=73ms, repo=207MB, total=160s
[2026-05-10 18:00:48] batch 43: 2150/5000 commits, batch=3.7s, avg=74ms, repo=212MB, total=164s
