batch_n,commits,batch_secs,avg_commit_secs,total_secs,repo_size_bytes
1,50,3.30,0.0661,3.30,5230852
2,100,3.48,0.0696,6.78,10408261
3,150,3.42,0.0684,10.21,15606259
4,200,3.37,0.0674,13.58,20775587
5,250,3.52,0.0705,17.10,25965401
6,300,3.53,0.0705,20.63,31147008
7,350,3.55,0.0709,24.17,36332741
8,400,3.55,0.0709,27.72,41514369
9,450,3.51,0.0702,31.23,46683709
10,500,3.65,0.0730,34.88,51877632
11,550,3.48,0.0695,38.36,57051054
12,600,3.49,0.0698,41.85,62224491
13,650,3.38,0.0676,45.23,67414290
14,700,3.35,0.0669,48.57,72591782
15,750,3.48,0.0696,52.05,77777494
16,800,3.45,0.0689,55.50,82950916
17,850,3.47,0.0694,58.97,88132529
18,900,3.49,0.0699,62.46,93322316
19,950,3.48,0.0695,65.94,98499855
20,1000,3.41,0.0683,69.35,103673260
21,1050,3.69,0.0739,73.05,108867301
22,1100,3.56,0.0713,76.61,114032695
23,1150,9.14,0.1827,85.75,119230866
24,1200,3.50,0.0699,89.24,124404433
25,1250,3.48,0.0695,92.72,129586192
26,1300,3.59,0.0717,96.31,134788457
27,1350,3.59,0.0718,99.90,139966160
28,1400,3.54,0.0709,103.44,145143842
29,1450,3.62,0.0724,107.06,150329718
30,1500,3.51,0.0702,110.57,155503297
31,1550,3.50,0.0701,114.07,160689150
32,1600,3.55,0.0709,117.62,165883209
33,1650,3.62,0.0725,121.24,171069090
34,1700,3.65,0.0730,124.89,176238573
35,1750,3.68,0.0736,128.57,181420365
36,1800,3.65,0.0731,132.23,186598054
37,1850,3.67,0.0734,135.90,191792108
38,1900,3.63,0.0727,139.53,196969790
39,1950,3.65,0.0731,143.18,202139280
40,2000,3.71,0.0742,146.89,207329260
41,2050,9.49,0.1898,156.38,212494633
42,2100,3.65,0.0729,160.03,217672301
43,2150,3.68,0.0736,163.70,222854044
44,2200,3.87,0.0774,167.57,228044021
45,2250,3.69,0.0738,171.26,233238080
46,2300,3.74,0.0748,175.00,238407556
47,2350,3.79,0.0759,178.80,243589327
48,2400,3.73,0.0745,182.52,248767016
49,2450,3.72,0.0744,186.24,253944698
50,2500,3.82,0.0764,190.07,259122387
51,2550,4.04,0.0808,194.10,264316432
52,2600,4.07,0.0813,198.17,269498217
53,2650,3.95,0.0791,202.12,274688208
54,2700,3.78,0.0756,205.91,279853576
55,2750,3.76,0.0752,209.67,285039457
56,2800,3.85,0.0769,213.51,290233516
57,2850,3.80,0.0759,217.31,295419369
58,2900,3.96,0.0792,221.27,300605236
59,2950,7.98,0.1596,229.25,305778780
60,3000,3.85,0.0770,233.10,310948235
61,3050,3.89,0.0777,236.98,316134079
62,3100,3.89,0.0778,240.87,321315843
63,3150,3.84,0.0768,244.71,326493492
64,3200,3.85,0.0770,248.56,331675256
65,3250,8.49,0.1698,257.05,336857037
66,3300,3.89,0.0778,260.94,342046981
67,3350,3.96,0.0792,264.90,347232862
68,3400,3.96,0.0792,268.86,352418743
69,3450,3.92,0.0784,272.78,357588226
70,3500,3.99,0.0799,276.77,362769983
71,3550,3.92,0.0784,280.69,367943576
72,3600,3.98,0.0796,284.67,373113066
73,3650,4.03,0.0805,288.70,378307125
74,3700,3.99,0.0797,292.68,383484807
75,3750,4.04,0.0808,296.73,388687072
76,3800,4.08,0.0817,300.81,393872932
77,3850,4.00,0.0801,304.81,399054689
78,3900,4.05,0.0811,308.87,404224153
79,3950,4.01,0.0802,312.88,409414116
80,4000,4.08,0.0816,316.96,414587695
81,4050,4.06,0.0813,321.02,419761255
82,4100,4.15,0.0829,325.17,424955286
83,4150,4.07,0.0814,329.24,430161646
84,4200,4.03,0.0807,333.27,435335206
85,4250,4.06,0.0811,337.33,440516963
86,4300,4.10,0.0819,341.42,445694617
87,4350,4.18,0.0836,345.60,450884552
88,4400,4.13,0.0825,349.73,456058152
89,4450,7.78,0.1556,357.51,461239923
90,4500,4.10,0.0821,361.61,466409385
91,4550,4.16,0.0832,365.77,471603465
92,4600,4.18,0.0837,369.96,476772936
93,4650,4.20,0.0839,374.15,481950625
94,4700,4.31,0.0862,378.46,487132375
95,4750,4.55,0.0910,383.01,492322303
96,4800,4.18,0.0836,387.19,497512290
97,4850,4.20,0.0840,391.39,502689951
98,4900,4.21,0.0843,395.61,507867619
99,4950,4.25,0.0850,399.85,513053500
100,5000,4.28,0.0856,404.13,518227079
